,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.8654970760233918,0.9308176100628931,0.896969696969697,159.0
2,0.0,0.0,0.0,5.0
3,0.0,0.0,0.0,13.0
4,0.0,0.0,0.0,17.0
5,0.0,0.0,0.0,6.0
6,0.42857142857142855,0.2,0.27272727272727276,15.0
7,0.9139784946236559,0.8854166666666666,0.8994708994708994,96.0
8,0.0,0.0,0.0,5.0
9,0.6145833333333334,0.8428571428571429,0.7108433734939759,70.0
10,0.8565217391304348,0.9471153846153846,0.8995433789954338,208.0
11,0.9516129032258065,0.8676470588235294,0.9076923076923077,68.0
12,0.92,0.9387755102040817,0.9292929292929293,49.0
13,0.0,0.0,0.0,6.0
14,0.9245283018867925,0.9607843137254902,0.9423076923076923,51.0
15,0.0,0.0,0.0,6.0
16,0.8596491228070176,0.9245283018867925,0.8909090909090909,53.0
17,0.7758620689655172,0.8181818181818182,0.7964601769911505,55.0
18,0.8421052631578947,0.75,0.7933884297520661,64.0
19,0.0,0.0,0.0,4.0
20,0.0,0.0,0.0,3.0
21,0.0,0.0,0.0,6.0
22,0.96,0.9230769230769231,0.9411764705882353,52.0
23,0.0,0.0,0.0,9.0
24,0.8125,0.8297872340425532,0.8210526315789474,47.0
25,0.0,0.0,0.0,5.0
26,0.0,0.0,0.0,8.0
27,0.5454545454545454,0.5675675675675675,0.5562913907284768,74.0
28,1.0,0.9827586206896551,0.9913043478260869,58.0
29,0.8297872340425532,0.8863636363636364,0.8571428571428571,88.0
30,0.8918918918918919,0.825,0.8571428571428571,40.0
31,0.7604166666666666,0.8202247191011236,0.7891891891891892,89.0
32,0.8660714285714286,0.9065420560747663,0.8858447488584474,107.0
33,0.7843137254901961,0.898876404494382,0.837696335078534,89.0
34,0.0,0.0,0.0,8.0
35,0.0,0.0,0.0,5.0
36,0.725,0.90625,0.8055555555555555,32.0
37,0.0,0.0,0.0,17.0
38,0.8076923076923077,0.9130434782608695,0.8571428571428572,92.0
39,1.0,0.9655172413793104,0.9824561403508771,58.0
40,0.9361702127659575,0.9166666666666666,0.9263157894736843,48.0
41,0.0,0.0,0.0,5.0
42,0.8571428571428571,0.9438202247191011,0.8983957219251337,89.0
43,0.7794117647058824,0.8412698412698413,0.8091603053435115,63.0
44,0.9512195121951219,0.8863636363636364,0.9176470588235294,44.0
45,0.81,0.8709677419354839,0.8393782383419689,93.0
46,0.0,0.0,0.0,10.0
47,0.8518518518518519,0.8846153846153846,0.8679245283018868,156.0
48,0.7757009345794392,0.8924731182795699,0.83,93.0
49,0.8301886792452831,0.9072164948453608,0.8669950738916257,97.0
accuracy,0.8319559228650137,0.8319559228650137,0.8319559228650137,0.8319559228650137
macro avg,0.514554466880425,0.5326904959353925,0.5215483469177356,2541.0
weighted avg,0.789422810955193,0.8319559228650137,0.8086034747328095,2541.0
